16087,1
76097,33628
45226,57887
12962,66644
73145,80077
120374,125561
426172,140530
27578,168189
6715,203657
15678,209707
24466,219968
50255,224487
54419,246125
1012486,270395
96032,307544
18360,327112
79630,335688
5028,389463
95358,403787
52888,411088
32249,435506
14081,466884
126240,498261
3925,514324
141579,522663
226050,524958
32389,533231
68583,546320
92972,572069
42075,575405
355838,614230
116218,689828
41387,707494
16693,710705
8518,714761
704786,719943
296,776026
8024,827660
203321,833651
42476,843486
51659,856295
16828,860098
60109,866047
445906,867817
14151,950411
71925,973968
35550,985514
20516,1005800
29582,1021079
178481,1022397
15663,1042726
18638,1060628
4041,1108328
29062,1227301
4036,1275934
25530,1338556
97281,1451924
28921,1470073
2398,1483572
41035,1501713
87616,1552052
20896,1555830
42480,1609517
32064,1669729
9247,1676311
199246,1689705
15677,1691572
13194,1705353
233016,1707245
69596,1724382
43930,1747499
12954,1774829
17301,1787060
4145,1806921
40835,1821067
38003,1855132
57003,1909721
75231,1910215
47304,1910515
763,1932582
269716,2009646
23167,2058240
100707,2136629
24845,2160868
7887,2178013
313867,2213134
75925,2251294
14114,2306111
30975,2306820
26188,2326219
18710,2346175
23380,2367032
36440,2386846
42326,2394279
98274,2414465
5746,2417962
11027,2424648
6207,2476777
39683,2484907
22053,2513376
1807,2531817
69026,2563946
20756,2628364
269615,2639939
47377,2659356
39597,2663596
370767,2675093
7391,2675343
42381,2688009
704092,2720043
41315,2751822
46400,2788396
19114,2826847
41684,2838768
24878,2848328
31269,2863475
84142,2867723
22807,2883727
26946,2962926
41786,2965166
32147,2968025
29972,3057234
51882,3109799
45117,3126790
30420,3199819
23819,3200609
52469,3231453
84373,3288363
6603,3352450
40652,3365938
49407,3407945
28376,3437411
7947,3478076
61507,3493109
360618,3520035
198785,3588043
7437,3600490
34559,3619842
62421,3634262
201603,3652124
139501,3661351
34151,3705872
53793,3723639
6971,3743436
1353171,3808071
94241,3812577
35658,3815535
23936,3871351
16057,3877129
1958,3893420
22426,3923402
8565,3932968
40529,3945078
280973,3960880
98058,3970414
48387,4004403
12797,4009433
619406,4014285
405032,4018002
6788,4047305
47803,4087903
20662,4107048
60589,4157929
257,4178870
38797,4181099
73692,4207657
20224,4281460
40388,4291533
7616,4320361
26659,4328650
623,4342430
89474,4343697
55296,4404915
4232,4421006
23633,4430637
56530,4446068
153151,4588050
34299,4607769
21463,4647536
63379,4700983
26204,4720723
30169,4754103
50648,4759071
4404,4789815
28469,4792707
126174,4801757
91969,4879866
29673,4888070
55076,4943618
15657,4945740
36614,4955960
22933,4971142
59019,5016712
107395,5090912
40320,5102218
77153,5106146
9594,5184733
88599,5232037
72672,5232409
18848,5336607
92400,5350511
13177,5414180
90699,5422432
285645,5423239
527,5455323
28405,5476533
46135,5476880
51305,5507323
34670,5524302
114593,5531125
45506,5640886
57686,5652328
76830,5653708
53898,5655833
202573,5668272
14929,5693814
2990924,5693894
21925,5700679
141328,5703047
66206,5730002
44905,5743771
109498,5763020
52238,5796672
29400,5799521
31370,5808481
22031,5829505
69195,5829550
52990,5929712
207928,5931451
84934,6042138
9804,6105825
22170,6116183
44968,6152057
91647,6195211
58198,6217672
36226,6228145
48893,6233849
250610,6235911
2790,6237180
65022,6244538
523393,6245307
11596,6257846
8853,6294772
250727,6318531
94698,6374384
63789,6393838
34184,6413618
13873,6414029
13329,6428820
142491,6436033
113281,6470266
456717,6483514
18462,6493060
61089,6513993
8538,6522265
12050,6523473
28448,6549935
110319,6555267
17838,6562541
87377,6589731
14430,6590602
22268,6597668
14308,6601067
614093,6724261
118175,6734457
123015,6756091
5409278,6769309
37140,6808610
44614,6809483
11267,6813292
92852,6816303
80306,6833237
26288,6838410
28383,6880893
39315,6896845
193781,6986598
97479,6999527
24830,6999545
81141,7000567
37775,7013270
50788,7030498
109164,7047248
51012,7049855
87101,7057135
48314,7077588
64082,7136824
40242,7143228
156123,7181905
1039,7188281
39339,7189868
9320,7204796
5721,7231139
71728,7251677
159344,7266796
55451,7313081
11698,7315283
42889,7368332
52768,7377046
168800,7390004
156613,7425068
299593,7436143
20264,7445389
34734,7496258
86525,7517367
39341,7578078
13674,7607628
76529,7613192
44788,7637991
24231,7638622
68239,7662872
22094,7712963
42716,7775465
13493,7799020
52060,7805425
337867,7808088
43647,7853422
9690,7855872
119823,7897250
17915,7904999
37985,7972281
122706,7974971
48421,7993072
47725,8016218
115412,8063339
51541,8082471
31058,8099471
746,8128184
67865,8160418
243120,8211021
51508,8227521
19397,8266422
2986764,8292673
24273,8297104
19781,8320136
18306,8341928
66049,8357740
62091,8379394
