time,arrived_system_global,arrived_system_task_1,arrived_system_task_2,arrived_cloudlet_global,arrived_cloudlet_task_1,arrived_cloudlet_task_2,arrived_cloud_global,arrived_cloud_task_1,arrived_cloud_task_2,completed_system_global,completed_system_task_1,completed_system_task_2,completed_cloudlet_global,completed_cloudlet_task_1,completed_cloudlet_task_2,completed_cloud_global,completed_cloud_task_1,completed_cloud_task_2,population_area_system_global,population_area_system_task_1,population_area_system_task_2,population_area_cloudlet_global,population_area_cloudlet_task_1,population_area_cloudlet_task_2,population_area_cloud_global,population_area_cloud_task_1,population_area_cloud_task_2,service_system_global,service_system_task_1,service_system_task_2,service_cloudlet_global,service_cloudlet_task_1,service_cloudlet_task_2,service_cloud_global,service_cloud_task_1,service_cloud_task_2,switched_system_global,switched_system_task_1,switched_system_task_2,switched_cloudlet_global,switched_cloudlet_task_1,switched_cloudlet_task_2,switched_cloud_global,switched_cloud_task_1,switched_cloud_task_2,switched_completed_system_global,switched_completed_system_task_1,switched_completed_system_task_2,switched_completed_cloudlet_global,switched_completed_cloudlet_task_1,switched_completed_cloudlet_task_2,switched_completed_cloud_global,switched_completed_cloud_task_1,switched_completed_cloud_task_2,switched_service_system_global,switched_service_system_task_1,switched_service_system_task_2,switched_service_cloudlet_global,switched_service_cloudlet_task_1,switched_service_cloudlet_task_2,switched_service_cloud_global,switched_service_cloud_task_1,switched_service_cloud_task_2,switched_service_lost_system_global,switched_service_lost_system_task_1,switched_service_lost_system_task_2,switched_service_lost_cloudlet_global,switched_service_lost_cloudlet_task_1,switched_service_lost_cloudlet_task_2,switched_service_lost_cloud_global,switched_service_lost_cloud_task_1,switched_service_lost_cloud_task_2,population_system_global,population_system_task_1,population_system_task_2,population_cloudlet_global,population_cloudlet_task_1,population_cloudlet_task_2,population_cloud_global,population_cloud_task_1,population_cloud_task_2,response_system_global,response_system_task_1,response_system_task_2,response_cloudlet_global,response_cloudlet_task_1,response_cloudlet_task_2,response_cloud_global,response_cloud_task_1,response_cloud_task_2,service_lost_system_global,service_lost_system_task_1,service_lost_system_task_2,service_lost_cloudlet_global,service_lost_cloudlet_task_1,service_lost_cloudlet_task_2,service_lost_cloud_global,service_lost_cloud_task_1,service_lost_cloud_task_2,switched_ratio_system_global,switched_ratio_system_task_1,switched_ratio_system_task_2,switched_ratio_cloudlet_global,switched_ratio_cloudlet_task_1,switched_ratio_cloudlet_task_2,switched_ratio_cloud_global,switched_ratio_cloud_task_1,switched_ratio_cloud_task_2,switched_response_system_global,switched_response_system_task_1,switched_response_system_task_2,switched_response_cloudlet_global,switched_response_cloudlet_task_1,switched_response_cloudlet_task_2,switched_response_cloud_global,switched_response_cloud_task_1,switched_response_cloud_task_2,throughput_system_global,throughput_system_task_1,throughput_system_task_2,throughput_cloudlet_global,throughput_cloudlet_task_1,throughput_cloudlet_task_2,throughput_cloud_global,throughput_cloud_task_1,throughput_cloud_task_2
100.00854779823393,1458,595,863,936,570,366,522,25,497,1185,581,604,685,556,129,500,25,475,3272.2492811407756,771.9283522582672,2500.3209288825083,1016.9046719959073,748.8203489384523,268.084323057455,2255.344609144868,23.108003319814923,2232.236605825053,4159.217996142679,1380.0589781619756,2779.159017980704,1814.2930704628873,1273.1588157317062,541.134254731181,2344.924925679792,106.90016243026923,2238.024763249523,233,0,233,233,0,233,233,0,233,222,0,222,0,0,0,222,0,222,1220.9524846384702,0,1220.9524846384702,0,0,0,1220.9524846384702,0,1220.9524846384702,318.32567035431964,0,318.32567035431964,318.32567035431964,0,318.32567035431964,0,0,0,32.71969599781111,7.718623750198068,25.00107224761304,10.168177564656778,7.487563467566678,2.6806140970901002,22.551518433154328,0.23106028263139114,22.320458150522935,3.5098886043398134,2.375316657765879,4.601256652285934,2.648603022573558,2.289853985128968,4.194839183962643,4.689849851359584,4.276006497210769,4.711631080525311,1.3662045937953633,0.0,1.3662045937953633,1.3662045937953633,0.0,1.3662045937953633,0.0,0.0,0.0,0.1598079561042524,0.0,0.26998841251448435,0.24893162393162394,0.0,0.6366120218579235,0.446360153256705,0.0,0.4688128772635815,5.499785966839956,0.0,5.499785966839956,0.0,0.0,0.0,5.499785966839956,0.0,5.499785966839956,11.848987172483731,5.809503415369661,6.039483757114071,6.849414525866123,5.55952478303878,1.2898897428273428,4.999572646617608,0.2499786323308804,4.7495940142867275
200.0208056723537,2805,1170,1635,1863,1139,724,942,31,911,2328,1158,1170,1416,1127,289,912,31,881,6311.093785221312,1504.2599530735265,4806.833832147785,2026.1345846737663,1478.640504093663,547.4940805801034,4284.959200547545,25.619448979863503,4259.339751567682,8072.675808200629,2646.0485011344445,5426.627307066185,3669.6389892036923,2515.1166966556725,1154.5222925480198,4403.036818996937,130.93180447877205,4272.105014518164,428,0,428,428,0,428,428,0,428,409,0,409,0,0,0,409,0,409,2241.4191151479686,0,2241.4191151479686,0,0,0,2241.4191151479686,0,2241.4191151479686,584.2312272062925,0,584.2312272062925,584.2312272062925,0,584.2312272062925,0,0,0,31.552186603823948,7.520517418260959,24.031669185562986,10.129619155682727,7.392433497722064,2.737185657960663,21.42256744814122,0.12808392053889497,21.294483527602324,3.4676442475088614,2.285015976800038,4.638142997492466,2.591552958477184,2.231691833767234,3.9948868254256737,4.8278912489001495,4.223606596089421,4.84915438651324,1.365026231790403,0.0,1.365026231790403,1.365026231790403,0.0,1.365026231790403,0.0,0.0,0.0,0.15258467023172906,0.0,0.2617737003058104,0.22973698336017176,0.0,0.5911602209944752,0.4543524416135881,0.0,0.4698133918770582,5.480242335325107,0.0,5.480242335325107,0.0,0.0,0.0,5.480242335325107,0.0,5.480242335325107,11.638789235822829,5.789397738437644,5.849391497385184,7.079263555809762,5.6344138611564984,1.4448496946532634,4.559525680013067,0.1549838772811459,4.404541802731921
300.05603390487533,4299,1787,2512,2844,1742,1102,1455,45,1410,3595,1772,1823,2169,1727,442,1426,45,1381,9935.512847707982,2285.3145594416783,7650.198288266303,3049.2433163542714,2255.9471457651002,793.2961705891713,6886.26953135371,29.36741367657788,6856.902117677132,12659.557612742377,4079.292809919074,8580.264802823303,5543.765582588057,3881.1524932927605,1662.6130892952965,7115.792030154321,198.14031662631368,6917.651713528007,655,0,655,655,0,655,655,0,655,638,0,638,0,0,0,638,0,638,3660.057255250791,0,3660.057255250791,0,0,0,3660.057255250791,0,3660.057255250791,802.6468901461059,0,802.6468901461059,802.6468901461059,0,802.6468901461059,0,0,0,33.1121914744023,7.616292629416596,25.495898844985707,10.162246286708408,7.51841953120092,2.643826755507488,22.949945187693896,0.09787309821567536,22.85207208947822,3.521434662793429,2.3020839785096356,4.706672958213551,2.555908521248528,2.2473378652534803,3.761568075328725,4.990036486784236,4.403118147251415,5.009161269752359,1.2254150994597037,0.0,1.2254150994597037,1.2254150994597037,0.0,1.2254150994597037,0.0,0.0,0.0,0.15236101418934636,0.0,0.2607484076433121,0.23030942334739804,0.0,0.5943738656987296,0.45017182130584193,0.0,0.4645390070921986,5.736766857759861,0.0,5.736766857759861,0.0,0.0,0.0,5.736766857759861,0.0,5.736766857759861,11.98109550811332,5.905563627364897,6.075531880748423,7.228649835075881,5.755591639085314,1.4730581959905669,4.75244567303744,0.14997198827958258,4.6024736847578565
400.0974642351694,5733,2363,3370,3813,2316,1497,1920,47,1873,4802,2349,2453,2909,2302,607,1893,47,1846,13271.645069832362,2976.638135184004,10295.006934648358,4040.7400806874302,2947.112335694455,1093.6277449929753,9230.904989144932,29.52579948954934,9201.379189655383,16838.477780438632,5345.6521875904755,11492.825592848158,7406.465057003741,5141.502569776519,2264.962487227222,9432.012723434893,204.14961781395715,9227.863105620936,885,0,885,885,0,885,885,0,885,868,0,868,0,0,0,868,0,868,4883.257564684115,0,4883.257564684115,0,0,0,4883.257564684115,0,4883.257564684115,1052.272791590418,0,1052.272791590418,1052.272791590418,0,1052.272791590418,0,0,0,33.17103020185989,7.4397825561683515,25.73124764569154,10.099389378564926,7.3659860387473,2.733403339817626,23.071640823294967,0.07379651742105182,22.997844305873915,3.5065551396165415,2.275714000677086,4.6852122270069945,2.5460519274677695,2.2334937314407117,3.731404427062969,4.982574074714682,4.343608889658663,4.998842419079597,1.1890088040569693,0.0,1.1890088040569693,1.1890088040569693,0.0,1.1890088040569693,0.0,0.0,0.0,0.1543694400837258,0.0,0.2626112759643917,0.23210070810385522,0.0,0.591182364729459,0.4609375,0.0,0.47250400427122263,5.625872770373404,0.0,5.625872770373404,0.0,0.0,0.0,5.625872770373404,0.0,5.625872770373404,12.00207556721099,5.871069451765643,6.131006115445348,7.270728410040977,5.753598074910392,1.5171303351305854,4.731347157170013,0.11747137685525126,4.613875780314762
500.1255401095063,7269,3007,4262,4801,2938,1863,2468,69,2399,6096,2996,3100,3659,2928,731,2437,68,2369,16724.91882494914,3815.36566665768,12909.553158291461,5085.500333159114,3777.7443593460985,1307.7559738130162,11639.418491790026,37.621307311581575,11601.797184478444,21309.57922502881,6854.178366144193,14455.400858884617,9279.16893953008,6570.037680155274,2709.131259374806,12030.41028549873,284.14068598891936,11746.269599509811,1123,0,1123,1123,0,1123,1123,0,1123,1113,0,1113,0,0,0,1113,0,1113,6254.443804453036,0,6254.443804453036,0,0,0,6254.443804453036,0,6254.443804453036,1300.1521062648771,0,1300.1521062648771,1300.1521062648771,0,1300.1521062648771,0,0,0,33.44144116552635,7.628815888551256,25.81262527697509,10.168447570275266,7.553592161118051,2.614855409157215,23.272993595251076,0.07522372743320428,23.197769867817872,3.495665883370868,2.2877764907023344,4.66303253512407,2.5359849520442963,2.243865327921883,3.7060619143294202,4.936565566474654,4.17853949983705,4.958324018366319,1.1577489815359547,0.0,1.1577489815359547,1.1577489815359547,0.0,1.1577489815359547,0.0,0.0,0.0,0.15449167698445454,0.0,0.2634913186297513,0.23390960216621537,0.0,0.6027911969940956,0.45502431118314424,0.0,0.4681117132138391,5.619446365186914,0.0,5.619446365186914,0.0,0.0,0.0,5.619446365186914,0.0,5.619446365186914,12.188939598376109,5.990495904976185,6.198443693399924,7.3161630561775235,5.854530043314509,1.4616330128630144,4.872776542198586,0.13596586166167576,4.73681068053691
600.1455923544911,8662,3563,5099,5716,3492,2224,2946,71,2875,7278,3550,3728,4363,3479,884,2915,71,2844,20129.054299664207,4483.749641799291,15645.304657864915,6064.464516827308,4445.820121483179,1618.6443953441296,14064.589782836898,37.929520316112246,14026.660262520785,25603.944589703155,8059.1661890018595,17544.778400701296,11166.06441232895,7760.369920176325,3405.6944921526256,14437.880177374203,298.79626882553464,14139.08390854867,1334,0,1334,1334,0,1334,1334,0,1334,1319,0,1319,0,0,0,1319,0,1319,7371.4627481569205,0,7371.4627481569205,0,0,0,7371.4627481569205,0,7371.4627481569205,1594.096280659402,0,1594.096280659402,1594.096280659402,0,1594.096280659402,0,0,0,33.54028515096463,7.471103177161803,26.06918197380282,10.104988846181811,7.407902645825221,2.6970862003565905,23.435296304782813,0.06320053133658311,23.37209577344623,3.517991837002357,2.270187658873763,4.7062173821623645,2.55926298701099,2.2306323426778745,3.852595579358174,4.952960609733861,4.208398152472319,4.971548491050869,1.194974723132985,0.0,1.194974723132985,1.194974723132985,0.0,1.194974723132985,0.0,0.0,0.0,0.15400600323250982,0.0,0.26161992547558344,0.23337998600419874,0.0,0.5998201438848921,0.4528173794976239,0.0,0.464,5.588675320816467,0.0,5.588675320816467,0.0,0.0,0.0,5.588675320816467,0.0,5.588675320816467,12.127057321952414,5.915231312576404,6.21182600937601,7.26990259627348,5.796926686324876,1.4729759099486033,4.857154725678935,0.11830462625152809,4.738850099427407
700.146896454874,10148,4172,5976,6721,4088,2633,3427,84,3343,8541,4155,4386,5140,4071,1069,3401,84,3317,23395.33664881119,5181.860326741265,18213.476322069924,7073.344229868584,5141.050471774457,1932.293758094127,16321.992418942604,40.80985496680813,16281.182563975795,29883.46189982159,9389.189695739466,20494.27220408212,13049.188680937625,9046.085848864632,4003.1028320729924,16834.27321888396,343.10384687483406,16491.169372009128,1561,0,1561,1561,0,1561,1561,0,1561,1546,0,1546,0,0,0,1546,0,1546,8618.315810350732,0,8618.315810350732,0,0,0,8618.315810350732,0,8618.315810350732,1858.113842569327,0,1858.113842569327,1858.113842569327,0,1858.113842569327,0,0,0,33.414897312651405,7.401104472474438,26.013792840176965,10.102657407586577,7.342816911430542,2.7598404961560346,23.312239905064825,0.05828756104389648,23.25395234402093,3.498824716054512,2.259732778757994,4.672656681277274,2.5387526616610163,2.2220795502001063,3.7447173358961576,4.9498010052584425,4.084569605652787,4.971712201389547,1.1903355814025158,0.0,1.1903355814025158,1.1903355814025158,0.0,1.1903355814025158,0.0,0.0,0.0,0.15382341348048878,0.0,0.2612115127175368,0.23225710459753013,0.0,0.5928598556779339,0.45550043770061277,0.0,0.4669458570146575,5.57458978677279,0.0,5.57458978677279,0.0,0.0,0.0,5.57458978677279,0.0,5.57458978677279,12.198868613496005,5.934468925076209,6.264399688419797,7.341316552320509,5.814494102042178,1.5268224502783316,4.857552061175497,0.11997482303403167,4.737577238141465
800.2535379549781,11532,4765,6767,7640,4667,2973,3892,98,3794,9726,4758,4968,5854,4661,1193,3872,97,3775,26611.696191152383,6028.8866647825,20582.809526369885,8132.0443863847795,5983.347778674712,2148.696607710068,18479.651804767607,45.538886107788414,18434.11291865982,34067.48131729885,10851.07795548091,23216.40336181794,14912.785810830692,10445.717403783037,4467.068407047655,19154.695506468153,405.36055169787267,18749.334954770282,1773,0,1773,1773,0,1773,1773,0,1773,1761,0,1761,0,0,0,1761,0,1761,9830.65533530018,0,9830.65533530018,0,0,0,9830.65533530018,0,9830.65533530018,2099.30434136568,0,2099.30434136568,2099.30434136568,0,2099.30434136568,0,0,0,33.2540812742393,7.533720725795382,25.720360548443917,10.161834969409762,7.476815152813897,2.6850198165958656,23.092246304829537,0.05690557298148479,23.035340731848052,3.502722734659557,2.2805964597479846,4.673189082491533,2.547452307965612,2.2410893378637713,3.744399335329132,4.946977145265535,4.178974759771883,4.9667112462967635,1.1840408016726904,0.0,1.1840408016726904,1.1840408016726904,0.0,1.1840408016726904,0.0,0.0,0.0,0.15374609781477627,0.0,0.2620067976946948,0.23206806282722514,0.0,0.5963673057517659,0.4555498458376156,0.0,0.4673168160253031,5.582427788358989,0.0,5.582427788358989,0.0,0.0,0.0,5.582427788358989,0.0,5.582427788358989,12.153648236100869,5.945615700942621,6.208032535158248,7.3151816547537,5.824404115614451,1.490777539139249,4.838466581347169,0.1212115853281703,4.7172549960189984
900.301333577271,13023,5391,7632,8645,5283,3362,4378,108,4270,10962,5374,5588,6603,5266,1337,4359,108,4251,29920.756983953426,6818.388010360304,23102.368973593122,9162.661913151114,6769.560910427406,2393.101002723709,20758.095070802312,48.82709993289831,20709.267970869412,38336.303258464395,12278.249732827333,26058.053525637064,16777.915977810426,11813.97099592888,4963.9449818815465,21558.38728065397,464.2787368984541,21094.108543755516,2022,0,2022,2022,0,2022,2022,0,2022,2007,0,2007,0,0,0,2007,0,2007,11180.151580164982,0,11180.151580164982,0,0,0,11180.151580164982,0,11180.151580164982,2348.9606083998756,0,2348.9606083998756,2348.9606083998756,0,2348.9606083998756,0,0,0,33.23415824018147,7.573450972540514,25.660707267640955,10.177327936130068,7.5192167977016435,2.658111138428425,23.056830304051402,0.05423417483887086,23.00259612921253,3.497199713415836,2.2847506015681676,4.663216450543498,2.5409535026216004,2.243443029990292,3.712748677547903,4.945718577805453,4.298877193504205,4.962152092156084,1.1617015867457348,0.0,1.1617015867457348,1.1617015867457348,0.0,1.1617015867457348,0.0,0.0,0.0,0.15526376410965215,0.0,0.264937106918239,0.23389242336610758,0.0,0.6014277215942891,0.46185472818638645,0.0,0.47353629976580797,5.570578764407066,0.0,5.570578764407066,0.0,0.0,0.0,5.570578764407066,0.0,5.570578764407066,12.175923317189172,5.969112562176118,6.206810755013054,7.334211062160199,5.849152726538787,1.4850583356214124,4.841712255028972,0.11995983563733174,4.721752419391641
1000.3565819684227,14480,5989,8491,9582,5862,3720,4898,127,4771,12186,5977,6209,7309,5850,1459,4877,127,4750,33306.87574818558,7654.748448401115,25652.127299784464,10211.211424775622,7596.845740867999,2614.3656839076225,23095.66432340996,57.90270753311614,23037.761615876843,42697.78158597572,13754.198959008101,28943.582626967618,18644.61762935431,13213.824738198558,5430.792891155752,24053.16395662141,540.3742208095429,23512.789735811868,2253,0,2253,2253,0,2253,2253,0,2253,2244,0,2244,0,0,0,2244,0,2244,12523.189913368764,0,12523.189913368764,0,0,0,12523.189913368764,0,12523.189913368764,2574.9517520769145,0,2574.9517520769145,2574.9517520769145,0,2574.9517520769145,0,0,0,33.29500335035227,7.6520198760912885,25.642983474260983,10.20757158880567,7.594137808259856,2.613433780545813,23.087431761546604,0.05788206783143243,23.029549693715172,3.5038389615932806,2.3011877127334954,4.661553008047611,2.550912249193366,2.2587734595211213,3.7222706587770746,4.931958982288581,4.254915124484589,4.950060997013025,1.1428991354091942,0.0,1.1428991354091942,1.1428991354091942,0.0,1.1428991354091942,0.0,0.0,0.0,0.1555939226519337,0.0,0.2653397715227888,0.23512836568566062,0.0,0.6056451612903225,0.45998366680277664,0.0,0.4722280444351289,5.580744168167898,0.0,5.580744168167898,0.0,0.0,0.0,5.580744168167898,0.0,5.580744168167898,12.181656241038922,5.974869469283575,6.206786771755348,7.306394671405997,5.847914739051181,1.4584799323548159,4.875261569632925,0.12695473023239315,4.748306839400532
