stream,value
0,931.3999999999995
1,992.9999999999985
2,989.0000000000001
3,1026.9999999999998
4,1007.5999999999995
5,1056.4000000000003
6,975.5999999999996
7,994.1999999999997
8,987.2000000000002
9,960.4
10,1021.2000000000006
11,1025.4
12,1024.1999999999998
13,1003.5999999999995
14,1033.0000000000002
15,907.2000000000006
16,1075.2000000000007
17,998.7999999999996
18,1064.2000000000007
19,1031.9999999999998
20,1026.7999999999993
21,1030.2000000000007
22,969.8
23,983.3999999999999
24,953.0
25,1004.1999999999991
26,981.6000000000004
27,1031.7999999999997
28,1031.8
29,1034.9999999999989
30,978.6000000000009
31,997.1999999999991
32,981.0000000000005
33,939.1999999999998
34,998.6000000000003
35,1005.1999999999989
36,953.399999999999
37,945.2000000000004
38,958.5999999999996
39,1007.5999999999996
40,934.8
41,994.3999999999996
42,991.2000000000002
43,944.0000000000005
44,1012.8
45,1097.0000000000007
46,1017.1999999999989
47,989.8000000000003
48,1019.4000000000004
49,1011.4000000000002
50,992.1999999999995
51,973.0000000000008
52,1011.9999999999999
53,961.5999999999999
54,1026.8
55,978.2000000000003
56,1012.4000000000003
57,970.1999999999999
58,1034.1999999999998
59,1048.400000000001
60,1072.7999999999995
61,999.5999999999997
62,1053.8000000000002
63,996.1999999999996
64,961.2
65,1008.7999999999996
66,913.3999999999995
67,976.999999999999
68,961.6000000000003
69,1083.1999999999998
70,1046.8000000000006
71,1014.7999999999989
72,1022.5999999999999
73,1048.999999999999
74,1014.1999999999994
75,1068.5999999999995
76,995.0000000000003
77,1003.5999999999995
78,987.6000000000007
79,983.7999999999998
80,1036.8
81,916.9999999999992
82,1024.2000000000003
83,1052.6
84,948.1999999999992
85,996.200000000001
86,1040.2000000000005
87,987.9999999999995
88,1006.1999999999999
89,1042.2000000000003
90,1017.6
91,926.2000000000002
92,916.7999999999988
93,960.3999999999992
94,993.8000000000002
95,1021.1999999999999
96,969.4
97,1042.9999999999998
98,891.1999999999994
99,1005.1999999999997
100,1003.1999999999991
101,1082.6
102,1024.6000000000006
103,985.6
104,1031.8000000000006
105,989.2000000000004
106,1082.9999999999998
107,1065.2000000000005
108,1117.0000000000002
109,1035.799999999999
110,1018.0000000000006
111,961.8000000000002
112,1005.5999999999996
113,960.3999999999999
114,990.7999999999988
115,1001.5999999999995
116,1115.5999999999992
117,1020.3999999999995
118,973.8000000000002
119,1010.4
120,1032.1999999999996
121,952.0000000000002
122,1033.6000000000008
123,1120.6000000000017
124,988.9999999999998
125,1087.0000000000002
126,1020.8000000000017
127,1060.3999999999999
128,1033.8000000000006
129,976.7999999999996
130,992.6000000000005
131,1078.1999999999996
132,1072.7999999999988
133,1041.6000000000008
134,995.9999999999999
135,931.7999999999996
136,913.3999999999996
137,993.5999999999995
138,1090.6000000000015
139,898.6
140,1040.0000000000002
141,945.5999999999996
142,980.4000000000004
143,995.0
144,1020.1999999999994
145,973.5999999999996
146,1024.8000000000009
147,1046.5999999999997
148,1071.5999999999995
149,1092.0000000000007
150,1009.4000000000007
151,996.6000000000001
152,1038.199999999999
153,960.2000000000003
154,981.8000000000004
155,986.0000000000005
156,1032.9999999999995
157,1016.8000000000003
158,1074.3999999999983
159,1059.5999999999992
160,978.1999999999999
161,1011.5999999999999
162,981.3999999999999
163,896.800000000001
164,957.400000000001
165,994.2000000000002
166,1015.4000000000009
167,1070.7999999999997
168,937.6000000000001
169,1057.2000000000007
170,1044.3999999999996
171,1018.2000000000003
172,1013.5999999999999
173,952.3999999999999
174,1101.3999999999987
175,1002.7999999999995
176,974.3999999999995
177,998.1999999999994
178,947.6000000000007
179,968.7999999999993
180,921.4000000000001
181,1043.6
182,1033.6000000000008
183,1139.199999999998
184,964.0000000000002
185,912.8
186,1023.5999999999999
187,983.6
188,1031.200000000001
189,1043.8000000000006
190,1003.7999999999994
191,1028.9999999999998
192,936.6
193,942.0000000000002
194,930.1999999999998
195,1021.6000000000005
196,913.1999999999996
197,1022.4000000000002
198,954.1999999999998
199,961.0000000000003
200,1097.4000000000012
201,943.5999999999999
202,874.4000000000004
203,939.9999999999999
204,1083.7999999999993
205,968.8000000000006
206,1025.6
207,1004.9999999999994
208,1067.5999999999995
209,995.1999999999992
210,1045.0
211,1054.8000000000004
212,931.3999999999996
213,982.7999999999998
214,1037.8000000000009
215,990.4000000000003
216,1035.1999999999996
217,965.2
218,980.6000000000003
219,1006.400000000001
220,989.5999999999997
221,1039.6000000000006
222,1020.2000000000005
223,1040.3999999999994
224,1001.8000000000001
225,970.3999999999992
226,1021.3999999999993
227,977.0000000000007
228,935.5999999999989
229,974.6000000000004
230,974.1999999999998
231,1050.3999999999996
232,1003.9999999999999
233,1017.5999999999989
234,1061.200000000001
235,956.3999999999997
236,1007.3999999999997
237,1007.7999999999995
238,1000.7999999999995
239,986.5999999999993
240,1000.5999999999999
241,1000.5999999999998
242,981.3999999999992
243,1003.9999999999995
244,966.9999999999997
245,1069.4000000000015
246,1110.199999999999
247,1043.1999999999996
248,999.4000000000002
249,980.2
250,987.4
251,942.4000000000004
252,1090.0
253,1014.8
254,937.1999999999995
255,977.1999999999987
